k,best_val_mae,best_val_rmse,best_val_mape,test_mae,test_rmse,test_mape,time_sec,device,gpu_name,model_name,d_model,num_layers,batch_size,learning_rate,epochs_completed,seed,timestamp
1,2.068286476770477,3.376339814192812,0.16866202995688284,2.474077124610997,4.0205403093850585,0.23629243918356488,561.39,cuda,NVIDIA A100-PCIE-40GB,SpectralMambaReal,64,3,16,0.001,22,42,2026-05-02 20:20:12
1,2.0502894284999424,3.3748249839029403,0.16568687098743526,2.5595189172783277,4.148477751020106,0.23405602859797728,1297.3,cuda,NVIDIA A100-PCIE-40GB,SpectralMambaReal,64,4,16,0.001,43,42,2026-05-02 20:42:09
1,2.032277598697255,3.354831249781058,0.1649083070688719,2.4940937437309034,4.045665741629846,0.224963814652671,1887.74,cuda,NVIDIA A100-PCIE-40GB,SpectralMambaReal,64,6,16,0.001,42,42,2026-05-02 21:13:58
1,2.0708748940990565,3.3886704738361173,0.1640219033560213,2.5096646443846913,4.060686431964751,0.23605222242341248,740.5,cuda,NVIDIA A100-PCIE-40GB,SpectralMambaReal,32,2,16,0.001,37,42,2026-05-02 21:26:37
1,2.0891573581617204,3.3754429737447014,0.17655126388433953,2.510714137442497,4.052593401290773,0.2381948172758209,399.28,cuda,NVIDIA A100-PCIE-40GB,SpectralMambaReal,128,2,16,0.001,20,42,2026-05-02 21:33:36
SpectralMambaReal,1,64,3,42,6.688024044036865,11.107317924499512,0.22215400636196136,6.712237358093262,11.196685791015625,0.2250407338142395,6.774044513702393,11.436989784240723,0.2316974550485611,6.720412254333496,11.230774879455566,0.22578021883964539,576.39,cuda,NVIDIA A100-PCIE-40GB,32,0.0005,31,2026-05-02 22:57:56
SpectralMambaReal,1,64,3,42,6.70118522644043,11.33541488647461,0.22978411614894867,6.7279157638549805,11.424660682678223,0.2327839732170105,6.790244102478027,11.664620399475098,0.23875974118709564,6.735527038574219,11.462892532348633,0.2334163337945938,448.17,cuda,NVIDIA A100-PCIE-40GB,32,0.001,24,2026-05-02 23:05:51
SpectralMambaReal,1,64,3,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.09,cuda,NVIDIA A100-PCIE-40GB,32,0.002,14,2026-05-02 23:10:25
SpectralMambaReal,8,64,3,42,5.997461318969727,10.132899284362793,0.19039574265480042,6.060976028442383,10.29062271118164,0.19363346695899963,6.2111639976501465,10.565719604492188,0.20091097056865692,6.076852321624756,10.306717872619629,0.1943182796239853,279.51,cuda,NVIDIA A100-PCIE-40GB,32,0.0005,15,2026-05-02 23:46:07
SpectralMambaReal,16,64,3,42,5.620697498321533,9.497941970825195,0.17571093142032623,5.690310001373291,9.668623924255371,0.17833878099918365,5.861413955688477,9.997929573059082,0.18529990315437317,5.710348606109619,9.701557159423828,0.17926426231861115,259.37,cuda,NVIDIA A100-PCIE-40GB,32,0.0005,14,2026-05-02 23:50:52
SpectralMambaReal,32,64,3,42,5.165404319763184,8.77931022644043,0.1554887890815735,5.281801700592041,9.073747634887695,0.16026002168655396,5.535743236541748,9.604150772094727,0.17003300786018372,5.3075456619262695,9.116219520568848,0.16121046245098114,337.42,cuda,NVIDIA A100-PCIE-40GB,32,0.0005,18,2026-05-02 23:56:58
SpectralMambaReal,32,128,4,42,5.132654666900635,8.743247985839844,0.15457771718502045,5.259511947631836,9.07802677154541,0.16030758619308472,5.492460250854492,9.588111877441406,0.17076905071735382,5.276025772094727,9.101447105407715,0.16111566126346588,322.7,cuda,NVIDIA A100-PCIE-40GB,32,0.0005,15,2026-05-03 00:08:40
SpectralMambaReal,32,256,4,42,5.121519088745117,8.685394287109375,0.15341584384441376,5.251794338226318,9.015445709228516,0.1591872274875641,5.505053520202637,9.554741859436035,0.16886229813098907,5.267994403839111,9.043180465698242,0.1594996303319931,279.41,cuda,NVIDIA A100-PCIE-40GB,32,0.0005,13,2026-05-03 00:13:47
SpectralMambaReal,64,128,4,42,4.279006004333496,7.209030628204346,0.11800043284893036,4.463085174560547,7.66980504989624,0.12562613189220428,4.796749591827393,8.454156875610352,0.14058125019073486,4.486470699310303,7.7323455810546875,0.12685081362724304,292.89,cuda,NVIDIA A100-PCIE-40GB,32,0.0005,14,2026-05-03 00:34:01
SpectralMambaReal,128,128,4,42,3.9005260467529297,6.777628421783447,0.10725600272417068,4.100701808929443,7.306509017944336,0.11548082530498505,4.483810901641846,8.135400772094727,0.13073071837425232,4.13369083404541,7.360068321228027,0.11663372069597244,372.04,cuda,NVIDIA A100-PCIE-40GB,32,0.0005,17,2026-05-03 00:40:40
SpectralMambaReal,207,128,4,42,3.483858585357666,6.318392276763916,0.09496645629405975,3.711932897567749,6.9017014503479,0.10332110524177551,4.147683620452881,7.842456340789795,0.11913351714611053,3.747380495071411,6.972535133361816,0.10454192012548447,396.38,cuda,NVIDIA A100-PCIE-40GB,32,0.0005,18,2026-05-03 00:47:44
